Group,Customer_Segment,Sales_Before,Sales_After,Customer_Satisfaction_Before,Customer_Satisfaction_After,Purchase_Made
Control,Low Value,276.3258026,323.6446532,53.0899195,,
Control,High Value,277.3445779,317.8315606,79.15142928,,Yes
Treatment,High Value,173.1622069,259.827841,91.13810078,,Yes
Treatment,Medium Value,253.0036561,377.2721493,68.14620266,88.6635089,No
Treatment,Low Value,179.8304419,270.9916165,70.05282257,67.41883087,No
Treatment,Low Value,140.1796384,214.8653718,43.32889626,54.09302681,
Control,Medium Value,267.566803,309.7253045,72.75993734,62.54467769,Yes
,High Value,294.9524184,462.1987418,90.87732425,79.58129196,No
Treatment,Low Value,192.3998014,292.5596447,50.28722109,47.46872341,Yes
Control,High Value,253.4225526,305.7980816,87.40263063,100,No
Treatment,Medium Value,112.821279,164.0785395,94.49868987,97.55607192,Yes
,,,363.8762121,,100,No
Control,Low Value,228.669626,268.5845628,65.84185125,62.75903423,No
Control,High Value,248.5745044,292.990826,,87.60235493,Yes
Treatment,,,254.5106303,,90.01507006,Yes
Treatment,Low Value,,176.3515904,48.20240586,58.4016766,No
Control,Low Value,281.4495211,337.89626,47.99563821,55.91788221,Yes
,High Value,187.2129273,275.1562669,66.95732169,70.56434052,Yes
Treatment,High Value,,388.3871709,78.43874876,77.60670387,
Control,,94.21035866,123.4010795,37.83114529,99.83992775,
Control,Low Value,,107.2060668,66.05231973,76,Yes
Treatment,,253.61082,399.5863125,89.89034661,88.99530184,
Control,Low Value,,253.4245145,,63.88010262,Yes
Treatment,,139.233526,199.7772316,83.25878373,,No
Treatment,High Value,293.9705991,470.7736329,85.21632647,90.26244569,No
Treatment,High Value,,324.9051196,76.7451005,82.87165972,No
,High Value,181.3544884,,80.19138311,,No
,,146.8599971,177.3947319,,61.62140384,No
Control,,258.9845498,303.3642463,74.44468218,58.01753639,Yes
Control,,105.7529107,124.4948984,,,No
Control,High Value,177.7915153,211.3289629,82.03362085,,Yes
,Medium Value,,369.31642,87.3636474,72.23167837,No
Treatment,High Value,,411.1338016,100,97.59822214,No
Control,High Value,182.5441624,212.3892791,90.64828024,100,No
Treatment,Low Value,249.2149193,376.4816323,61.23229824,71.39712134,Yes
,High Value,172.4955848,279.1909524,82.01745493,81.62189082,No
,,208.7663618,331.2433277,,93.82428338,Yes
,High Value,221.780164,261.0976993,96.6474847,97.80873879,Yes
,,227.366275,260.7621579,,,No
Control,Low Value,189.0293218,226.8084588,,,Yes
Treatment,,197.8055866,304.8930981,77.55376149,71.9386396,Yes
,Low Value,188.9112645,,54.66034286,49.68868459,Yes
Control,,222.7088471,272.7214232,97.53740787,82.08666073,No
Control,Low Value,241.9865121,284.9309248,54.7899216,,No
,Low Value,185.5192007,227.7611518,,58.63749198,Yes
Control,Low Value,234.9278485,286.4666974,,66.75198122,No
,,,245.9825135,52.03270476,69.4144175,
Treatment,High Value,261.5886681,408.5783041,81.27582297,85.25833143,Yes
Treatment,,279.8927925,442.6562467,100,100,No
Control,Medium Value,162.1017615,188.7809637,66.66619661,71.69847831,No
Control,Low Value,227.0097577,262.6856922,52.54376553,58.74165219,No
Treatment,Low Value,183.8052442,304.577683,51.49852264,65.94108253,No
,Medium Value,177.310249,285.1178581,63.38342263,,No
Control,Low Value,230.7109616,275.5220774,65.29436553,76,No
Control,,197.6087449,220.9462291,55.95532697,57.5902989,Yes
Control,High Value,,308.8078826,94.79396238,100,No
Control,Medium Value,82.85530136,108.483982,69.81016337,88.04518842,Yes
Treatment,Low Value,231.1642464,366.7363257,58.84241979,65.65919617,Yes
Control,Medium Value,342.7880014,406.7022623,70.39114127,72.83376418,No
Control,High Value,,274.7249364,96.52906189,100,No
Control,Low Value,177.9114778,218.8953535,56.39589899,,No
Control,High Value,214.9929168,253.1050844,95.45262317,100,No
Treatment,High Value,,420.2213378,100,100,Yes
,,203.3765317,316.8989424,52.48871744,,Yes
Treatment,High Value,415.1015489,648.5524882,,100,Yes
Control,Low Value,272.1376045,317.8550866,47.03286825,54.40242656,No
,High Value,287.8165606,346.3446633,83.65636082,98.69032128,Yes
Treatment,,222.2983982,333.860152,79.01128433,69.63330815,No
Control,Medium Value,158.5464117,195.3141201,66.79949467,76.69966758,No
Control,High Value,,257.5791572,100,,No
Treatment,Medium Value,212.4192364,329.9243138,66.43414178,67.87426745,No
,Medium Value,148.8209095,205.4686852,75.14196771,,Yes
Treatment,Low Value,243.1744432,381.9821511,60.96212379,57.78326873,No
Treatment,,213.3800274,336.5037087,46.92567888,,Yes
Control,,145.776722,169.464662,,59.63226629,No
Control,,118.4787515,131.9946581,54.61070973,,
Treatment,Medium Value,254.9159619,382.7157749,54.29396465,38.63686455,No
Control,High Value,150.1213493,176.9867132,100,100,No
,Low Value,198.5233304,298.3104869,54.51729984,60.55903957,Yes
,Low Value,176.1165617,270.9007465,58.06144163,59.56746175,Yes
Control,Low Value,227.543099,271.1084,51.7086552,,Yes
Treatment,High Value,286.1776103,444.3399907,98.31876085,,Yes
Control,Low Value,159.412235,196.6609151,52.90155339,52.34551303,No
Control,,289.222313,352.7509146,98.24164075,100,Yes
Control,Medium Value,,236.8717434,,89.01690756,
Control,Medium Value,203.8462203,243.7668889,47.49939588,64.54732473,Yes
Treatment,,223.4834776,348.107889,79.44215981,,Yes
Control,High Value,358.6663201,437.1887591,,81.66130539,Yes
Treatment,,185.1831727,286.6323283,45.83015157,42.28686252,Yes
Treatment,Low Value,122.2843735,194.1181641,43.5705266,54.90482345,Yes
Treatment,Low Value,160.4832597,262.928164,55.51623353,57.64307571,Yes
Treatment,Low Value,232.3538793,362.2585321,55.47901717,62.08280472,No
Control,,184.3636947,216.1070553,49.77794583,74.48665975,Yes
,High Value,242.1318337,284.5810139,73.79336966,93.07704202,No
Treatment,,187.5579382,283.1382434,72.32678266,80.96924157,Yes
Treatment,Low Value,73.0348272,116.1922886,54.38022103,,No
,,178.3347384,213.4866112,,85.89386008,No
,High Value,231.2414509,353.6782818,100,87.4166779,Yes
Control,High Value,140.9668288,,,100,No
,,133.3021492,201.9325445,57.04127435,,Yes
Control,High Value,221.0155438,262.864323,71.08520048,66.53990978,Yes
Treatment,Medium Value,194.1858174,293.1567152,71.41800543,72.84539759,No
,,205.9662646,317.3367416,61.4708891,56.41460072,No
Control,Low Value,174.9879392,203.1033887,60.08933436,,Yes
,Medium Value,239.2647216,368.892489,95.32308201,91.29926711,No
,Low Value,159.9262321,238.776375,60.6471286,60.390358,Yes
Control,Low Value,210.6313737,,43.31565207,62.92424736,No
Treatment,Medium Value,286.6959203,438.0400767,54.18001205,73.65861898,No
Control,Low Value,199.5690939,233.3873475,54.03985286,53.35019058,Yes
,Low Value,178.6271995,206.9077803,55.7908083,63.3125114,No
,Medium Value,174.7900029,266.3966048,67.24012473,72.74065521,Yes
Treatment,High Value,241.2676999,350.3323785,100,100,Yes
Treatment,Medium Value,202.1203469,317.0584469,45.64659905,44.56088729,Yes
Treatment,Low Value,220.1717104,342.2191748,49.8829854,,Yes
Treatment,Medium Value,127.1296684,,48.81000011,48.42613936,Yes
,Low Value,190.6863489,292.9170298,47.92017735,49.71919299,No
,Low Value,219.4920813,348.0927308,52.24300785,,Yes
Control,Medium Value,220.3696189,257.2017319,82.6469945,84.94466922,Yes
Treatment,,173.2063053,254.6598266,44.58668375,,
Control,High Value,215.9212795,257.7447857,87.99973586,95.86446768,No
Treatment,Low Value,145.8093834,237.75814,50.91724642,61.64892015,No
Treatment,,229.7897925,366.2309995,70.7021663,95.05412021,Yes
,High Value,255.3227774,,,70.86161617,No
Treatment,High Value,161.3458684,267.4410588,,94.41004358,No
Treatment,,203.8462203,316.8969556,48.04568656,54.52824858,Yes
Control,,183.030804,,74.56868801,91.94060147,Yes
Treatment,,173.7087311,265.7196666,61.9458051,,No
Treatment,,276.4097121,409.8490791,53.36425594,57.05993473,No
Treatment,,291.0564553,461.8867891,90.31663015,89.71155365,No
Control,,147.6533002,174.2317,73.16360029,63.11291112,No
Treatment,Low Value,,212.0954535,60.06002562,71.74399677,Yes
Treatment,High Value,169.163159,257.8834795,80.16653185,75.66019276,No
Treatment,,261.178142,397.127132,52.20314853,44.83895407,No
Treatment,High Value,,301.0508134,85.24479764,88.29445956,Yes
Control,Low Value,124.6918365,144.0761101,,34.90778618,Yes
Control,,,326.1408929,64.54836593,59.54384353,No
Treatment,High Value,261.7407705,396.2162727,,95.66322923,No
Treatment,Medium Value,,500.8572481,,90.43446492,No
Control,Medium Value,,,78.49985225,80.10940239,Yes
Control,Medium Value,214.8692893,263.1000654,75.41734312,78.26441414,Yes
Treatment,Medium Value,228.3997285,356.6001416,59.93225773,85.32109414,No
Control,Medium Value,,215.8889929,78.10330823,57.06374849,Yes
Treatment,Low Value,253.3955288,396.0982286,50.11804936,,No
Control,,308.6325315,369.2836678,76.4557854,63.733693,No
,Low Value,121.3853191,143.2854991,46.21722898,53.9965027,No
Control,Low Value,243.7363185,288.8517361,54.5974091,65.74129475,Yes
Control,Low Value,151.6213822,185.6811494,49.67853571,51.63761569,No
,Medium Value,329.5508475,501.2877038,74.08887255,82.49626218,Yes
Control,Low Value,265.7758776,315.7969486,50.96250043,60.89422582,Yes
Control,High Value,178.6945618,199.7487359,94.81598773,100,Yes
Treatment,,199.3779596,311.279668,51.86275886,47.45573444,No
Control,Medium Value,269.0177419,319.3679628,72.03479781,,Yes
Control,High Value,210.922248,243.1269861,,84.74894781,No
Treatment,High Value,,239.8216851,100,100,Yes
Control,,237.3478661,290.6712134,68.39033126,81.83506519,No
Treatment,High Value,233.570462,360.9896135,100,,Yes
Treatment,Low Value,153.7770359,225.0222744,,61.96268134,Yes
Treatment,Medium Value,279.7638755,432.3272898,57.02112353,62.39002244,Yes
Treatment,High Value,167.6941624,259.8404138,,92.51515824,Yes
Control,High Value,232.9150487,,94.36141305,100,No
,Medium Value,,353.3157701,87.66907934,84.59986761,Yes
Control,Low Value,212.2449929,243.9602015,43.99728791,63.75463847,No
Control,High Value,305.2602742,345.8127318,73.79267262,85.25233515,Yes
Control,Low Value,181.7960749,210.2553215,,,No
,Low Value,,,55.76949849,55.46027432,No
Control,,,205.6983878,64.69420683,,Yes
Control,Low Value,228.5517783,,46.47134442,54.67330763,
Control,High Value,231.8042956,263.9733241,74.85707074,99.41342687,
Control,High Value,228.7238551,263.8039679,100,,No
,Low Value,222.2771739,257.3115653,,47.11013027,
,Low Value,221.6626229,263.1598934,48.58712673,48.64677486,Yes
Treatment,Medium Value,128.5326689,200.3515652,76.7980892,77.45187642,Yes
Treatment,,209.0168491,334.0881969,52.48345597,52.46722204,No
Treatment,Medium Value,205.1378184,319.4987863,,86.78506865,No
Control,High Value,239.6802693,282.0424695,,90.87427928,Yes
Treatment,Medium Value,117.6249331,176.5492843,66.1885824,70.84856528,Yes
Treatment,High Value,307.2219383,475.8391103,100,100,Yes
Treatment,High Value,236.112184,365.4403123,96.02219516,100,No
Control,High Value,264.3477212,313.1004717,75.7916253,87.75506488,No
Control,High Value,331.1718188,394.7764005,92.93528742,100,
Control,,228.6613572,271.2612333,72.80754732,78.26494527,Yes
Control,Low Value,131.9688703,147.6601978,53.12300998,47.66906499,
Treatment,,195.7136885,302.8877013,47.62905814,57.71934164,Yes
,,217.9804367,330.2858318,55.07868093,58.00538607,Yes
Treatment,Medium Value,221.1437063,342.7633197,79.09695489,82.41846673,Yes
Treatment,Low Value,,418.0088204,59.38207722,64.07908641,Yes
Control,Medium Value,173.3666691,212.293357,63.95231999,58.88565989,No
Control,Medium Value,,331.1007995,69.3755088,,No
Control,Medium Value,,243.7668889,,61.08922429,Yes
Treatment,Low Value,,304.9475231,66.11943097,64.13909742,No
Control,Low Value,205.1372375,,,45.61925878,No
Control,Low Value,,182.4323837,,47.16073987,Yes
Treatment,High Value,214.7993271,318.4178363,75.29252423,66.3370699,No
Treatment,Medium Value,,371.0599872,80.17010345,73.92144865,No
,High Value,224.1047134,260.8660392,100,100,No
Control,Medium Value,221.1467084,273.7442813,64.40794362,71.25286643,Yes
Control,Low Value,244.5781259,293.3550902,47.33871113,40.88804545,Yes
Control,Medium Value,,125.3322968,70.97569431,97.64937686,No
Control,Medium Value,234.3616597,267.289677,,66.56037296,Yes
Control,High Value,,406.4898612,,79.2415555,No
Treatment,Medium Value,,,69.49745702,,Yes
Treatment,Low Value,137.543584,211.1753818,53.8775372,56.16929281,No
Treatment,Medium Value,,304.8158528,,79.55975267,Yes
Control,Medium Value,141.1834024,178.6316864,,62.91412373,No
Treatment,Medium Value,219.7450195,337.1096053,65.8875937,73.99237925,Yes
Control,,236.778995,278.0708917,,100,Yes
Control,Medium Value,234.9523443,282.4854173,66.72984487,71.02395984,Yes
Treatment,,204.2223974,323.6658506,74.74017398,,No
Control,High Value,247.011099,294.0347228,92.45521101,100,No
Control,,264.5342129,298.7422067,100,,Yes
Treatment,,,266.550664,,89.65606902,No
,,260.8979972,390.9368918,61.35374758,,No
Treatment,Low Value,268.8307782,404.9547464,42.46780221,55.79850509,
,Low Value,,170.1782208,,64.30532539,No
Treatment,Medium Value,223.0338992,345.1620319,74.3498043,62.49671155,Yes
,Low Value,,401.2273378,52.18878064,58.81342725,No
Control,Medium Value,160.3087705,176.9763383,68.41937546,76.03727281,
Treatment,,227.8785031,353.2190014,49.36763817,54.47061118,Yes
Treatment,,231.6348095,370.1854971,79.87875732,88.78619457,No
Treatment,High Value,284.1637462,438.276341,,89.82525492,Yes
Control,Low Value,158.979046,192.4369504,50.76694391,,No
Control,Low Value,189.8400847,229.0083316,56.0686883,51.53037644,No
Control,Medium Value,147.026659,170.0599636,70.4694305,,No
Control,,203.8462203,243.7668889,65.59163379,73.85006067,No
Treatment,Medium Value,,360.654793,,70.3272833,Yes
Control,,262.5196642,309.7217641,100,89.43904009,Yes
,High Value,,328.6410057,100,100,No
,High Value,228.6271146,351.0299689,85.09622695,89.71886388,No
Treatment,High Value,154.2238165,249.7477119,83.84117103,94.54066727,Yes
Treatment,Medium Value,,405.4468987,69.84336994,,No
Control,High Value,223.0848462,263.6962583,84.45917555,91.41722422,Yes
Control,High Value,257.2644826,304.0068499,89.815934,100,Yes
Control,,,270.0118274,94.24883746,86.4834619,
Treatment,,340.7004567,519.831893,93.58834601,100,Yes
,,,271.0075925,53.48974643,49.38437195,No
Control,Medium Value,177.6565448,212.7703835,,72.53219843,Yes
Treatment,Medium Value,140.1722925,218.1758419,88.48387783,96.17018755,No
Treatment,High Value,240.2935488,388.7785738,79.33808801,100,No
,Low Value,,424.367962,56.21413116,68.36566897,Yes
Control,Medium Value,224.3528087,283.154381,69.94881508,99.94733725,Yes
Treatment,Medium Value,,359.6997788,62.28175327,70.47582512,Yes
Treatment,High Value,,,81.24190186,93.19170602,Yes
Control,High Value,249.7562666,288.909986,86.20852566,100,No
Control,Medium Value,272.4269151,330.3935356,88.8026695,91.57094165,
Treatment,Medium Value,,,81.97799011,93.02959382,Yes
Treatment,Low Value,161.1292539,249.8332007,47.63392838,47.88370669,
Control,Medium Value,138.4405235,159.0616376,77.04948979,,No
,,263.2224229,310.2165651,60.47190792,61.80572216,No
Treatment,High Value,260.011773,399.3647888,81.71460414,73.30930857,Yes
Treatment,Medium Value,155.0113517,246.032053,,72.81779772,No
Treatment,High Value,190.8846633,291.7927118,100,100,Yes
Treatment,Medium Value,182.3470298,292.2028483,53.03289083,,No
Control,Medium Value,,260.125279,74.33160395,74.36185561,No
,Medium Value,266.5802017,418.5682569,74.70559501,60.21318754,No
Treatment,,,370.8376511,52.24164603,68.6352068,No
Control,,278.1541377,322.3799785,92.41396418,,
,Low Value,,,50.34422926,34.34061608,No
,Medium Value,325.3571824,386.9212967,78.38160774,82.73076385,No
Treatment,,184.0687601,292.7914993,51.68613637,54.56595367,Yes
Treatment,High Value,212.6432879,326.6441934,96.61779308,97.3336964,No
Control,Medium Value,,179.5206171,,98.53211222,No
Control,Low Value,177.6285754,208.8984219,59.99249398,,Yes
Treatment,Low Value,225.5932439,349.3896545,53.06238387,52.66440094,Yes
Treatment,High Value,149.9963146,241.6381267,63.32907556,74.87769347,
Treatment,,148.1059154,218.7681849,57.4402152,,No
,High Value,214.5418681,262.5215836,71.3534658,61.93749877,Yes
Treatment,,177.4355243,268.0240697,78.78462307,73.3777715,No
,,172.9860978,203.3939418,74.62044577,81.16551441,Yes
,Low Value,245.7239869,293.7729666,52.28908414,46.31541424,Yes
Treatment,Medium Value,,210.6693382,72.83059278,80.52026244,No
,Medium Value,216.8843948,273.8431215,85.62173068,99.99593097,Yes
Treatment,,217.8409353,338.2181661,62.9068214,66.04477468,No
Treatment,Medium Value,203.8462203,316.8969556,69.36628423,57.23709163,
Treatment,Low Value,184.6119373,280.5547439,39.04710004,49.629988,No
Treatment,High Value,,339.6769344,,100,No
Treatment,High Value,267.6469645,,69.42778225,43.50872826,No
Control,High Value,317.6027344,376.2884835,93.7425957,100,Yes
Control,,138.8563307,165.9974828,52.64570964,60.8006252,Yes
,Low Value,155.1575153,231.8460547,58.31975061,63.5549421,Yes
Treatment,,164.1249727,258.9853988,84.87818726,93.97019674,Yes
Control,Medium Value,213.2545791,251.2526139,72.25246991,80.77796236,Yes
,Medium Value,190.0733327,215.228722,,67.9394809,No
Control,Medium Value,240.6365022,284.2714353,72.40623472,85.82552256,No
Control,Medium Value,179.6627032,217.6610554,56.59808093,63.69998441,No
Treatment,Low Value,150.8449402,236.3666865,48.99290058,71.50594132,No
Treatment,Low Value,168.7199189,262.7895672,,62.65131257,No
Control,High Value,243.6131979,289.1227252,,100,Yes
Treatment,High Value,280.3338987,433.7936141,100,100,No
Control,High Value,229.3110079,268.4516562,,,No
Treatment,,209.7284587,333.5112076,100,98.71768724,No
Control,Low Value,155.0859461,,62.82210895,,No
Treatment,Low Value,250.7772005,384.2874365,58.4982675,59.21037073,
Control,Low Value,104.4304472,132.7888716,54.28202572,49.69598188,Yes
Control,Medium Value,213.4411744,261.0415405,,84.04875109,Yes
Treatment,Medium Value,,390.9388709,71.04450865,64.61198674,No
Control,High Value,218.992823,257.4740056,68.62125327,76.16308956,Yes
Treatment,,187.7327852,,65.51231639,61.93324003,No
Treatment,Low Value,204.328416,308.7073796,55.74751917,,No
Control,High Value,174.5551434,212.9585955,,,Yes
Treatment,High Value,140.7312894,231.8600058,82.61448704,86.94115894,No
Treatment,Medium Value,,368.6274155,53.55817013,,No
Treatment,High Value,,281.8082432,82.7122363,95.19594192,Yes
Treatment,Medium Value,220.3151647,347.1013837,68.12610914,77.78432878,Yes
Treatment,Medium Value,202.5172422,300.7480971,,86.22995399,Yes
,High Value,250.3581135,307.387264,98.22327793,,Yes
Treatment,Medium Value,197.4481073,302.7812649,69.59748002,63.61549096,Yes
Treatment,Medium Value,238.7900494,370.8168035,66.41623145,,Yes
Treatment,Medium Value,173.0961787,259.3325028,64.02377673,64.10903676,Yes
,Medium Value,255.5220001,381.1796104,73.11331082,77.28793607,Yes
,High Value,,259.4840562,100,87.69843954,No
Control,Low Value,243.5872786,,47.23589163,47.16905095,No
Treatment,Low Value,284.3532934,441.4334214,,,Yes
Control,Medium Value,211.3538396,255.8822928,74.66605222,77.51724535,Yes
Control,Medium Value,290.1135154,347.2871403,,88.73603461,No
Control,,304.3032361,,73.75442111,71.35561985,Yes
Control,Low Value,189.1093592,221.5660164,,42.04149089,Yes
,Medium Value,209.9607889,340.2791458,73.39199307,86.85953018,No
,High Value,197.6422355,247.5849023,89.48237968,,Yes
Control,High Value,,237.2706793,,95.4840865,No
Treatment,,,372.100848,79.03460967,83.08168284,No
Treatment,Low Value,126.0112828,196.1767211,66.06959898,61.6689122,No
,Medium Value,256.6249669,386.8965826,66.07095992,73.36203313,No
Control,Medium Value,223.3206508,256.8069404,67.07350642,70.48913853,Yes
Treatment,Medium Value,,389.6108053,,85.14009344,No
Treatment,,188.9828683,285.6418282,43.8376836,35.77775269,Yes
Control,Low Value,226.8555023,267.1729332,,,Yes
Treatment,Low Value,,315.5647738,58.53027825,65.75724097,
Treatment,,208.5654001,325.7392682,51.71813381,53.99522815,Yes
Treatment,High Value,282.7082744,443.4738295,,,No
Treatment,Low Value,,214.4426378,52.83045711,61.7057694,No
Control,,159.6904075,186.3598854,62.49699107,72.90844978,No
Treatment,Low Value,,469.4766796,,46.97659997,Yes
Treatment,Medium Value,220.9615931,,,48.97694764,No
Control,Medium Value,126.8074672,143.9330214,,84.13061834,No
Treatment,Medium Value,127.5729111,194.6221054,61.58707848,46.32852679,Yes
Control,High Value,234.6373435,284.5703532,94.71941805,92.35111992,
Treatment,High Value,,286.644086,96.10381377,100,No
Control,Low Value,152.5168832,181.9867767,57.5361873,67.25955803,Yes
Control,Medium Value,,359.8739802,74.83774394,80.23794457,Yes
Control,High Value,220.3229733,255.4572337,78.20235483,,No
Control,Medium Value,251.3585461,306.4615906,,66.50304405,Yes
Treatment,High Value,237.4977722,374.9107994,87.10658028,,No
,High Value,221.1785605,266.2204758,92.08776651,100,Yes
Treatment,Low Value,137.2191775,216.1658663,,,No
Control,Low Value,116.0730142,134.7930266,64.85921776,72.55323129,
Control,High Value,101.5955435,119.4850408,,,No
Control,Low Value,,268.8925045,59.61351906,55.01570387,Yes
Treatment,High Value,238.9314569,375.8968605,87.56157712,88.63121213,Yes
,,,298.1310711,,100,No
Treatment,Medium Value,,332.0117251,90.12654816,94.63720591,No
Treatment,,141.519818,,40.69772393,23.94824454,No
Treatment,Low Value,212.3282716,329.8408466,55.02449311,50.837076,
Treatment,Low Value,224.4279177,345.3029986,,68.18528268,Yes
,Medium Value,187.6088295,292.6126266,83.18700207,67.9701158,No
Treatment,Medium Value,245.3920148,374.2560624,77.32702556,76.78966587,Yes
Treatment,Medium Value,230.3493491,350.0619596,90.14105088,100,Yes
Treatment,Low Value,214.542876,334.8967267,60.97950028,67.7490161,Yes
Treatment,Low Value,,229.0019437,52.1546147,57.62452599,No
Control,Low Value,,312.6165305,51.55628519,61.5480345,No
Control,Medium Value,229.5598479,276.9777847,77.18738047,79.87432962,No
Control,,261.3010691,311.93302,85.85420532,79.97729387,No
Control,High Value,216.2075619,265.4667656,82.68842269,82.95489482,Yes
Control,,265.4806066,,74.13244928,88.77123577,No
Treatment,,210.9169111,327.0866792,63.53733389,50.92309076,Yes
Treatment,Low Value,157.3585565,,,51.82662525,Yes
Treatment,Medium Value,303.0252382,478.7176605,87.29994874,96.07410374,Yes
Treatment,Low Value,80.51140847,114.7057994,65.17840884,64.99050186,
Treatment,Low Value,,512.5695822,59.60471745,,
Treatment,Low Value,225.8193782,336.5333764,66.95789475,76,Yes
Treatment,,174.9483334,259.5197115,51.5615091,,No
Control,Medium Value,226.2349393,,69.84412699,82.50471009,Yes
,Low Value,224.0074115,274.059131,52.17205906,73.92144865,Yes
Control,High Value,217.7700452,247.2525519,96.2124755,100,No
Control,Medium Value,315.0185908,375.5335657,99.46932979,,
Treatment,Low Value,,398.3508336,56.62993821,76,Yes
Treatment,,357.0501832,574.9668964,60.32943706,48.34354686,No
Treatment,High Value,172.1421009,244.3801625,76.81971197,93.50980939,Yes
,Low Value,201.5360391,236.1388996,47.09650902,42.46885858,No
Treatment,High Value,162.2895397,244.2046515,80.2790753,66.87839971,No
Treatment,Low Value,137.2227603,206.0967769,,64.0813574,Yes
Treatment,High Value,,338.2704476,,96.23783777,No
Control,Low Value,185.1792911,224.9328649,42.67808139,38.55818802,No
,Medium Value,229.5491519,350.7833628,76.93285235,75.01698021,Yes
Control,Low Value,182.1340624,215.953499,61.48821902,62.0060703,No
Control,,248.8614898,290.3534744,65.10664744,66.80374558,No
Control,Low Value,,233.4217181,57.41972035,60.60950497,Yes
Control,Low Value,261.4938981,313.888706,58.71252248,51.70323029,No
Treatment,,276.8259463,433.4681713,98.65810715,100,Yes
Control,High Value,160.7131434,177.7564527,87.4973677,96.23413776,Yes
Control,High Value,225.3217034,262.8209209,76.67876547,100,Yes
Treatment,Low Value,191.3504611,293.3774091,55.97189966,72.85636513,Yes
,,206.5317086,316.6140146,53.87270748,56.27121931,No
Control,Low Value,245.9863955,291.5676708,54.63117076,63.3875731,Yes
Treatment,Medium Value,228.6478164,333.563239,60.43903885,55.57583367,Yes
Control,Medium Value,245.9987695,299.3876153,54.26024235,,No
Control,Low Value,136.7614093,161.5379306,37.77873568,62.77163279,Yes
,,212.5460933,271.3842342,66.41464692,59.934721,Yes
Control,High Value,121.9576674,147.9686962,67.96749979,,Yes
Treatment,High Value,262.2717444,409.0980874,,100,Yes
,Low Value,,268.3266066,56.21800543,64.17480647,Yes
Treatment,,,246.6264283,,99.15026129,Yes
Treatment,Low Value,192.5296914,303.3339811,51.57183905,49.83849899,Yes
Treatment,Medium Value,202.2672138,310.2524453,50.68451712,,Yes
Treatment,High Value,329.1403144,503.9947796,95.59625132,90.2111034,No
Control,Medium Value,162.3669043,204.0713592,74.11781296,,No
Treatment,High Value,286.0072393,446.0690344,88.57839272,100,Yes
,Low Value,235.9109765,285.3581977,,56.60249999,No
Treatment,Low Value,185.6137816,284.5991569,,49.97621045,Yes
Treatment,Low Value,198.2108908,315.2172919,58.46903663,69.27665829,No
Control,,,284.7821789,48.67836241,40.97308251,No
Control,,203.8462203,243.7668889,,100,No
Control,Medium Value,186.8737953,219.1572936,87.34177635,87.55567928,Yes
Treatment,,297.0004057,472.3231676,31.12161068,76,Yes
Treatment,High Value,347.7850283,550.7094768,87.30615594,90.9988678,No
Control,Medium Value,188.9832352,221.8781106,,63.16722705,Yes
,Low Value,,219.1092676,54.36624377,71.06485372,Yes
Control,Medium Value,,333.6131289,78.54086143,72.41083109,No
Control,Low Value,,273.6474229,,62.90829129,No
Treatment,Medium Value,312.9291147,476.2260008,70.24902619,82.00024929,Yes
,Medium Value,266.7151056,322.0712788,52.11755096,63.69729095,No
Control,Low Value,182.6555504,219.324121,46.6287549,,Yes
Control,High Value,220.5677721,259.5308057,86.58473104,95.61952992,Yes
Control,Medium Value,,206.1654716,80.47359534,92.67934675,
Treatment,Low Value,,209.7339909,71.04319038,62.41677469,Yes
Control,Medium Value,,279.631819,72.25101417,82.25014436,Yes
Treatment,Medium Value,244.501235,381.5942309,78.16355629,75.51809335,No
Control,High Value,275.4559829,,69.74008177,66.63976328,No
Control,Medium Value,207.6175432,250.0832813,,,No
Treatment,Medium Value,300.2990304,471.8965234,72.57053843,76.66489769,No
,Low Value,132.5428893,161.151266,37.46226436,47.4067395,No
Treatment,,126.787116,199.4916445,56.36457649,64.4059511,No
,High Value,181.8844193,276.6084267,85.19507917,93.97489541,
Control,Medium Value,210.4597572,256.4874843,71.17957531,,Yes
Treatment,Medium Value,156.3103644,245.5021199,65.11108379,61.27319222,Yes
Treatment,Medium Value,278.0236188,433.8780135,75.91857223,77.32381591,Yes
Treatment,High Value,,,100,100,Yes
Treatment,Medium Value,172.5654863,274.1619634,80.39191994,68.7049712,No
Treatment,,242.4961063,361.0156431,58.5247016,62.42424528,
Treatment,High Value,236.6342901,365.4427283,96.05858145,100,Yes
,Low Value,228.2410331,350.6376524,54.65573575,60.97074997,
Treatment,Low Value,285.8484213,439.8823536,75.82391921,37.91009119,
Control,High Value,,295.0763185,100,100,
,Low Value,130.479012,148.8584528,,50.26622411,No
Treatment,Medium Value,213.8338892,327.918555,,87.98104407,No
Control,High Value,180.2736707,205.9294024,94.32174063,95.73016493,No
Treatment,Low Value,279.1223559,435.7915454,47.08395839,53.13308896,Yes
Treatment,,281.0042172,442.9797064,,,No
Control,Medium Value,179.1689643,219.225341,73.54098467,,Yes
Treatment,Low Value,180.7823642,283.3555826,,,Yes
Treatment,,201.3416397,306.7292672,74.98959171,,No
,High Value,532.7524973,818.2199975,43.7630877,,Yes
Treatment,Low Value,204.1431736,311.1966289,64.26074751,76,
Control,Medium Value,197.3020231,,75.82612883,94.66004763,No
